source_url,target_url,status,preserve_query_string,include_subdomains,subpath_matching,preserve_path_suffix
digiblu.com/ai-artificial-intelligence,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/digital-solutions,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/process-excellence,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/target-operating-model,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/opportunity-discovery,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/post-implementation-services,https://digiblu.com/#services,301,false,true,false,false
digiblu.com/about-us,https://digiblu.com/#about,301,false,true,false,false
digiblu.com/about-us-1,https://digiblu.com/#about,301,false,true,false,false
digiblu.com/about-digiblu,https://digiblu.com/#team,301,false,true,false,false
digiblu.com/leadership-team,https://digiblu.com/#team,301,false,true,true,false
digiblu.com/contact-us,https://digiblu.com/#contact,301,false,true,false,false
digiblu.com/website-terms-of-use,https://digiblu.com/legal/website-terms-of-use,301,false,true,false,false
digiblu.com/privacy-policy,https://digiblu.com/legal/privacy-policy,301,false,true,false,false
digiblu.com/modern-slavery-policy,https://digiblu.com/legal/modern-slavery-policy,301,false,true,false,false
digiblu.com/carbon-reduction-plan,https://digiblu.com/legal/carbon-reduction-plan,301,false,true,false,false
digiblu.com/armed-forces-covenant,https://digiblu.com/legal/armed-forces-covenant,301,false,true,false,false
digiblu.com/case-studies,https://digiblu.com/#case-studies,301,false,true,false,false
digiblu.com/our-projects/automating-complicated-customer-service-interactions,https://digiblu.com/case-studies/sse-ovo,301,false,true,false,false
digiblu.com/our-projects/transforming-fms-services-with-digital-onboarding-solutions,https://digiblu.com/case-studies/assurancesd,301,false,true,false,false
digiblu.com/our-projects/simplifying-funding-applications-for-life-changing-sport-programs-,https://digiblu.com/case-studies/special-olympics,301,false,true,false,false
digiblu.com/our-projects/streamlining-healthcare-onboarding%3A-reducing-time-and-enhancing-efficiency,https://digiblu.com/case-studies/healthcare,301,false,true,false,false
digiblu.com/our-projects/streamlining-hr-and-payroll-integration-through-automation,https://digiblu.com/case-studies/northwest,301,false,true,false,false
digiblu.com/our-projects/digitising-intake-at-emergency-humanitarian-relief-centers-,https://digiblu.com/case-studies/us-city,301,false,true,false,false
digiblu.com/our-projects/designing%2C-deploying-and-scaling-an-automation-centre-of-excellence,https://digiblu.com/case-studies/old-mutual,301,false,true,false,false
digiblu.com/our-projects/training-for-transformation%3A-establishing-a-digital-workforce,https://digiblu.com/#case-studies,301,false,true,false,false
digiblu.com/our-projects,https://digiblu.com/#case-studies,301,false,true,true,false
digiblu.com/blog,https://digiblu.com/,301,false,true,true,false
digiblu.com/post,https://digiblu.com/,301,false,true,true,false
digiblu.com/News,https://digiblu.com/,301,false,true,true,false
